state,stressor,year,January-March,April-June,July-September,October-December
$North Carolin-a,.Un%known,2016,2.5,41.7,3,1.3
No%rth Carolina,Unknown,2017,3.9,1.5,1.8,6.7
North C&arolina,Un_kn_own,2018,8,0.8,3.1,5.2
North Carolina,Unkn(own,2019,3.4,NA,5.7,11.7
N$orth Caroli.na,Unknow%n,2020,5.1,1.4,NA,1.9
North +Carolina,Unknown,2021,0.5,NA,NA,NA
North (Ca)rol.ina,Va(rr*oa m%i&te%s,2015,35.5,51,33.9,9.6
North Carol-i+na,V.a_rro-a_ mites,2016,9.6,51.8,27.8,24
Nor^th Ca@rolina,Varroa #m$i^tes,2017,34.7,23.4,74.5,64.2
No#rth Carolina,Varroa^ m.ites,2018,29.7,9.7,66,53
#North Carolina,V%arr%oa m^ites,2019,16.4,NA,26.9,44.5
N+o%rth #C!aro_lina,Va^rro+a mite&s,2020,35.7,23,70.5,37.7
!North Carolina,V(ar)roa mites,2021,23.7,35.8,NA,NA
Nort^h Dakota,!Dis!esa_ses,2015,NA,0.1,8.1,1.8
North Dakota,D!isesas%e@s,2016,NA,2.1,6.3,1.5
North (Dakota,)D!ises!ases,2017,NA,2.8,3.4,0.2
North Dakota,D!isesa)ses,2018,1.2,4.8,9.6,8.1
*North )Dakota,D&ises_a!ses,2019,NA,NA,14.7,1.8
-Nor+th Dakota,#Di!sesases,2020,NA,2.6,12.3,5.1
North D+akota,Dis-esases,2021,NA,NA,NA,NA
$North Dakota,Ot(her,2015,2.5,4.6,4.1,3.7
North Da.kota,Other,2016,NA,3.6,9.9,2.6
North Dakota,O@t_her,2017,0.2,3,8.1,0.9
North Dakota,Ot)her,2018,0.9,3.9,10.9,4.3
N%orth D$akota,Other,2019,0.4,NA,23.7,2
North Dakota,Oth@er,2020,3.1,2.9,9.3,1.1
Nor^th_ Dakota,Oth+er,2021,NA,2,NA,NA
Nort(h Dakota,%Oth!e^r- pest+s/_paras$ite%s,2015,1.7,3,15.5,2.3
North Dakot#a,Othe)r pest!s/p%a@ra*s*ites,2016,NA,3.7,11.8,7.9
Nor-th Dakota,O+ther pe)sts/p-arasit.es,2017,NA,3.6,11.9,16.5
Nor&th Dakota,Ot@her p(ests/par_asit+es,2018,0.1,7.5,11.5,9.4
North Dakota,Othe@r &pests/pa&r*asites,2019,NA,NA,10.2,7.1
Nort!h #Dakot)a,(O*ther -p#ests/par*a@s+ites,2020,NA,1.7,15.9,0.5
*No$rth D.akota,*Ot^her pes(ts/pa.ra#si)te)s,2021,NA,0.7,NA,NA
North +Dakota,Pe$s&ti(cides,2015,NA,4.3,12.3,1.5
)N+orth Da*kota,Pesticide!s,2016,NA,1.1,12.9,0.4
Nort$h Dakota,Pest$ici_d!es,2017,NA,5.4,8.1,0.5
North Dak*ota,!P(esti(ci!d$e(s,2018,NA,4.7,10.4,10.6
North Dakota,Pe+stici$des,2019,6.5,NA,9,3.7
North. Dakota,P#es(ticid^e(s,2020,NA,3,4.1,11.5
North Dakota,P(esti.cide^s,2021,NA,NA,NA,NA
North Dakota,Unknown,2015,0.1,0.3,3.7,2.1
#North Dakota,.Un@kn^ow&n,2016,9.9,0.2,3.1,2.2
N(ort%h +Dakot-a,Unknown,2017,0.1,0.4,1.9,0.3
Nort(h Dakota,U@nknow+n,2018,NA,4.3,1.2,4.6
North Dakota,Un_known,2019,1.3,NA,9.3,1.7
)North Dakota,Un#known,2020,NA,1.5,1.4,5.5
North Dak+ot#a,U^nknow.n,2021,NA,NA,NA,NA
Nort(h Dakot.a,Va*rr*oa@ ^mit-es,2015,1.7,15.5,33.8,10.8
&North Dakota,V!arr&o@a m)ites,2016,NA,16.2,38,23.5
N^orth Dakota,Varroa m.ites,2017,0.8,27.9,42,41.7
North @Dakota,!Varroa mit.e-s,2018,1.4,24.7,52.6,29.5
North Dakota,Varroa m_it(es,2019,6.9,NA,48.4,43
North Dakota,$Varr_oa mi-te)s,2020,0.6,25.7,61.3,60.2
Nor#th Dakota,V-ar&r.oa m)i(tes,2021,NA,29.9,NA,NA
Ohio,D^isesases,2015,1,3,0.6,2
Oh)io,Di-ses@ases,2016,0.2,0.6,2.3,0.8
Ohio,Dises_as_es,2017,0.6,6.2,4.7,7.1
Ohio,Di#sesas-e@s,2018,6.5,1.7,2.6,0.1
Ohio,^Di)s%esa!se%s,2019,11.1,NA,4.2,0.4
Ohio,Dise)sases,2020,1.1,6.2,0.8,0.9
Ohio,D+isesa*ses,2021,2.9,7.3,NA,NA
O&hi*o,+O+th&er,2015,17.8,11.2,1.6,14.5
_Ohio,Other,2016,10.2,2.9,3.6,11.2
Ohio,Othe)r,2017,5.2,16.8,11.7,8.4
Ohio,Ot-her,2018,15.8,21.7,11.9,2.4
Ohio,+Oth$er,2019,6.7,NA,5.9,3.3
Ohi@o,Other,2020,3,7.3,10.8,2.5
Ohio,Other,2021,8.2,7.7,NA,NA
Oh&io,Ot_he(r$ pests/p)a^ras)ites,2015,1.6,4.1,8,8.8
_Oh-i_o,.Othe+r* !pests/&par(a!s)ites,2016,4.4,2.2,10.6,18.1
Ohio,O&ther pest^s/$p)a^r%asi^te.s,2017,11.6,6.4,19.1,23.3
Ohio,Oth(er p!est#s!/par#asit$e!s,2018,10,30.8,40.9,5.8
Ohio,Othe&r pes(ts/pa!rasites,2019,9.9,NA,23,5.6
Ohio,Othe&r p$ests/!p.arasit#es,2020,3.6,12,10.4,12.4
Ohio,Other pest)s/+parasites,2021,14.4,41.4,NA,NA
Ohio,.Pes(ti.c+ide-s,2015,3,11.9,23.4,7.3
Ohio,Pesticid^es,2016,1.3,18.3,2.9,4.2
.O&hi#o,Pesticides,2017,0.1,10.5,6.7,6.4
Ohio,Pesti)c.ides,2018,3.2,2.7,1.3,8.1
%Ohio,^Pesticides,2019,1.1,NA,1.8,0.6
Ohio,Pes-ticid(es,2020,0.1,5.8,3.7,6.4
Ohio,&Pest(icid)es,2021,2,3.3,NA,NA
Ohio,Unknown,2015,3.1,29,1.7,2.1
Ohio,Unknow#n,2016,5.3,1.4,3.2,10.9
Ohio,%U_nknown,2017,16.5,3,7,2.9
Oh%io,Unkn)ow!n,2018,11.6,1.6,1.2,9.9
Ohio,U#nk%nown,2019,3.1,NA,3.9,7.6
Ohio,$Un(k_n(ow$n,2020,13.4,13.3,1.4,1.7
Ohio,Unknown,2021,4.9,3.4,NA,NA
O&hio,Varro-a m)it(es,2015,10.7,15.8,30.7,36.3
Ohio,V(a*r+roa @mite*s,2016,41.9,10.6,60.6,42
Oh$io,Varroa mites,2017,25.8,45.6,51.5,45.3
Oh-io,V@arr&oa mite#s,2018,39.6,38.8,58.9,29.3
Ohio,Varroa mites,2019,49.3,NA,40.6,33.2
Ohio,-V+arro+a (mites,2020,17.6,23.8,28.6,42.4
Oh#i$o,@Varroa mites,2021,26.6,68.2,NA,NA
Oklahoma,D.ises*as.es,2015,0.5,NA,0.1,0.1
Oklahoma,D)i!sesa.ses,2016,0.1,0.2,0.3,NA
Oklahoma,Di@sesa)ses,2017,NA,11.1,10,NA
O)klahoma,-D&ise.sase@s,2018,3.2,9.6,0.1,NA
O.klahoma,D)is^esases,2019,NA,NA,0.1,NA
Oklahoma,D*i.sesase+s,2020,0.4,0.4,0.9,NA
Oklahoma,Dis#esa_ses,2021,NA,NA,NA,NA
Oklahoma,Oth@e&r,2015,2.1,7,0.6,1.3
Okla)homa,@Other,2016,2.4,0.6,1.4,0.1
O+klahoma,O*the$r,2017,0.5,7.6,4.7,NA
Oklahoma,Ot*he*r,2018,3.1,12.4,17.2,NA
Oklahoma,Ot_her,2019,NA,NA,4.1,0.4
Oklahoma,O)th$er,2020,0.4,18.1,2.4,NA
Ok^lahom-a,Other,2021,4.2,7,NA,NA
Oklahoma,Other p*e&sts/para%sites,2015,10.1,6.3,2.3,4.5
Oklahom^a,Othe)r pests#/&pa!r&a*s&it(e*s,2016,2.6,2.8,6.5,0.5
Okl+ahoma,$Ot&he+r$ pests^/parasi*t^e.s,2017,1,1.6,23,0.5
Oklahoma,Ot.h%er pests/parasi!tes,2018,8.5,10.9,51.1,0.4
Oklahoma,Othe*r pests/p!arasit#e#s,2019,0.3,NA,1.4,0.4
Oklahoma,_Oth-er p)ests/parasi%t*es,2020,0.6,3.9,8,1.1
Okla)ho-ma,Other pest.s/pa)ra+sites,2021,NA,2.1,NA,NA
Oklahoma,P*esticides,2015,NA,0.1,0.1,0.1
Okl^ahom(a,P@esticide.s,2016,0.6,1.2,0.7,0.1
Oklahoma,P&esticide&s,2017,0.1,0.3,3.8,NA
Ok-lahoma,P_e+sti.cides,2018,0.1,26.7,23.5,NA
Oklahoma,Pe_sticides,2019,NA,NA,0.1,0.4
Oklahoma,P%est@ic&id#e%s,2020,0.5,0.9,1.7,NA
Okl.aho-ma,Pes@ti_c(ides,2021,NA,NA,NA,NA
Oklahoma,#Unk+n^own,2015,2.9,1.9,0.4,2.5
Oklah)o%ma,#Unk%nown,2016,41.5,0.4,21.8,0.7
O+klahoma,U#nk-nown,2017,0.3,0.2,2,0.2
Okla%homa,Un*kn-own,2018,2,0.1,23.4,0.3
Oklahoma,Unknown,2019,NA,NA,4.4,0.1
Oklahoma,Unkno(wn,2020,0.3,5.1,0.8,0.8
Oklahoma,Unknown,2021,2,1,NA,NA
Oklahom&a,$Varroa mit_es,2015,14.5,66.1,1.6,2.8
Oklahoma,.V+arr+oa mites,2016,9.7,51.8,7.5,4.9
Oklahoma,$Varr$oa m)i)tes,2017,11.9,23,22,1
Oklah*oma,Var#roa (mites,2018,24.1,60.2,59.6,13.1
Oklahoma,V%arroa #mites,2019,7.7,NA,29,1
Oklahoma,Varro%a mites,2020,11.4,14.8,52.4,2.3
Okl_ahoma,Varr!oa$ mi!t)es,2021,7.6,3.1,NA,NA
Orego!n,.Di(s#esase_s,2015,0.4,13.2,5.2,1.5
Oregon,Disesa-s%es,2016,5.3,9.9,12.5,13
Oregon,D.isesa!se%s,2017,10.1,10.2,11.3,28
Oregon,Di$s#esa-ses,2018,1.2,8.1,7,16
Oregon,Di@ses)a&se%s,2019,0.2,NA,19.8,4.7
Oregon,Dise+s@a#s%es,2020,10.8,7.5,3.8,3.7
Oregon,D*is+es.a.s+es,2021,1.4,6.2,NA,NA
Ore_gon,Other,2015,1.6,5.8,4.8,1.7
Oregon,Other,2016,2.4,16.7,5.1,2.6
$O_regon,Othe^r,2017,15.4,14.8,6.4,3.9
Ore+gon,O.th*er,2018,3.7,15.5,10.7,0.9
)Oregon,Other,2019,2.7,NA,16.6,16.6
O!rego$n,*O!t_her,2020,1.3,5.9,7.1,3.8
Oregon,O&t.her,2021,1.2,6.5,NA,NA
Oreg&on,^O.ther p.ests/parasit+e)s,2015,2,20.9,20.8,1.3
Oregon,@Oth(e!r p.ests(/parasites,2016,15,14.5,18.5,2.8
Oregon,Ot.her pests/pa_ra^sites,2017,8.5,9,10.6,23.3
Oregon,Ot_her p.ests/)pa)ras(it*es,2018,0.7,3.5,2.8,4.6
Oregon,Ot-her pest^s/p%arasite#s,2019,0.1,NA,12.8,2.1
#Or&egon,Ot_he#r p_ests/paras.i.tes,2020,10.4,1.7,2.5,4.6
Oregon,!Ot)her p)es_ts/.parasi&tes,2021,10.7,8.3,NA,NA
Oregon,Pes.t!icid^es,2015,0.6,16,3.1,1.5
Orego#n,Pest@ici*d(es,2016,NA,2.6,9.6,2.8
Orego^n,Pesticid-es,2017,9.1,3.6,13.2,14.2
Oreg!on,Pe_st.ic^ides,2018,6.7,6.6,45.1,14.8
Oreg&on,Pest&icides,2019,0.2,NA,15.1,1.8
-Oreg_on,P%esticide@s,2020,14.5,2.2,0.5,1.6
Oregon,Pes&ti#c+i_des,2021,NA,10.1,NA,NA
Oregon,!Unk!n-ow)n,2015,1.1,0.4,3.8,1.5
Or&egon,Unkno+wn,2016,0.3,6,1.5,1.3
Or@e+g-on,Un_kno.wn,2017,8.5,9.6,1.8,1.8
Oregon,Unkn-own,2018,1,0.2,0.8,0.2
Oregon,Unkn#own,2019,0.5,NA,0.4,16
Ore!gon,Unknown,2020,0.3,0.7,2.4,3.9
Oregon,U%nknown,2021,0.6,1.8,NA,NA
Oreg^on,%Varro%a !mite)s,2015,20.2,39.3,56,16.4
Oregon,&V@arroa. m.i(te$s,2016,20.9,52.7,52.9,25.5
O)regon,V(a!rroa^ mites,2017,28.7,32.7,54.4,50.6
Oregon,)Varroa^ m*i)t.es,2018,36,45.9,57.2,44.1
Oregon,Varroa m.ites,2019,18,NA,35.4,35.8
Oregon,&Varroa m#ites,2020,24.4,28,42.4,28.5
Oregon,Var)roa ^mit$es,2021,12.9,17.2,NA,NA
Other States,Dises.ase-s,2015,NA,NA,NA,NA
Other S%tat%es,Disesases,2016,NA,NA,0.5,9.3
Other States,Dis!es%ases,2017,6.6,0.3,2.3,3
Other States,Di$s$esases,2018,0.2,1,1.3,0.2
+Other S(tates,D@isesases,2019,0.3,NA,4.2,0.3
Other State^s,Disesase%s,2020,NA,0.7,NA,NA
Other States,)Di$sesas#es,2021,4.1,NA,NA,NA
Other States,#Other,2015,0.9,0.1,0.7,NA
Oth@er States,O!ther,2016,13.3,0.6,2.3,2.3
Ot%her -States,Othe%r,2017,1.8,4,1.2,1
Othe#r (States,O%ther,2018,2,3.9,4.9,1.5
Other Sta_tes,Other,2019,2.1,NA,1.4,32.4
Other Sta&tes,%Othe!r,2020,0.7,0.3,14.1,12.5
O+th.er S*t_ates,O-t$h_e*r,2021,6.8,5.9,NA,NA
Other States,Other pest_s/paras-it)es,2015,0.1,9.1,0.2,NA
Ot+her States,Ot$her) p&ests/p-ar+asi-tes,2016,NA,0.2,1.6,9.3
Other St^ates,&O@ther p@est+s/paras%ites,2017,0.8,0.4,4.7,1.7
Other Stat*es,_O@t&her p#e!sts/p^aras^ite(s,2018,0.5,0.9,2.4,0.2
Other &States,Oth@e%r +p^ests/*p#ar(asites,2019,1.8,NA,4.5,2.3
Other State-s,.Other- pe#st_s/par-asi-t^es,2020,NA,1.1,7.1,1.1
Other S^tat#es,)Oth!e%r^ !p(ests/parasi@tes,2021,1.2,NA,NA,NA
O!the@r States,Pesti+ci*des,2015,0.1,NA,0.4,NA
Other States,P_estic+ides,2016,NA,0.8,NA,9.6
Oth^er St*ates,Pes&t!i!cides,2017,2.6,NA,6.7,2.2
Other Stat)es,Pestici*des,2018,NA,NA,2.9,5.4
Othe*r( States,Pesticid(es,2019,NA,NA,7.7,0.3
Other States,Pest^ici*des,2020,NA,NA,6.3,NA
Other St^ates,P&es!t^icide(s,2021,NA,4.8,NA,NA
Other States,-Unknown,2015,NA,NA,0.2,8
O+ther States,U%n-k@n(own,2016,NA,5.4,9.8,1.4
Oth%er +State&s,Un)kn%ow(n,2017,2.5,0.6,1.3,2.4
Other States,Un(kn%own,2018,1.2,0.3,0.7,5.4
Other States,Unknown,2019,1.6,NA,0.1,0.9
Other Sta$tes,+U$nk^nown,2020,0.4,0.3,NA,7.4
Other State#s,U@nkno-wn,2021,1.1,5,NA,NA
O!ther States,V!a#rroa $mites,2015,0.8,36.3,8.8,8.2
Other States,Varroa mit#es,2016,0.1,7.6,7.8,24.1
&Other S+tat#es,V@ar(ro.a mit@es,2017,3.4,6.8,51.1,11.5
Other Sta)tes,V$arr^oa m$ites,2018,22.2,19.7,22.8,12.7
O&ther States,V+ar^roa mite&s,2019,6.9,NA,11.3,13.6
Other States,Va@rroa mit%es,2020,5.5,16.8,76.4,44.5
Other States,V_arroa mit@es,2021,19.4,60.3,NA,NA
Pennsylv.ani.a,Di&se&sase#s,2015,1.9,2.6,3.7,1
Penn_sylvania,Di$ses^ases,2016,0.3,2.4,1.6,1
Penns@ylvania,Disesas#es,2017,0.8,0.8,2.7,1
Penn#s&ylvania,.Dise-sases,2018,3.3,2.2,1.9,6.7
P^e*nnsy%l$va_ni-a,Dises^as%es,2019,3.7,NA,1.8,1
Pe!n.n.sylvania,Dis(e_sases,2020,2.8,1.4,1.2,1.3
Pennsylvania,Dis_esase(s,2021,NA,1.3,NA,NA
Penn%sylvania,Ot!her,2015,17.8,6.7,7.2,0.8
Pennsyl^vania,@Other,2016,5.5,4.6,2.8,4.9
P*ennsylvani-a,Othe_r,2017,3.6,2.4,2.2,2.9
Penns&ylvan&i&a,Ot-her,2018,5.9,1.6,1.7,7.8
Pennsylvania,Othe+r,2019,7.5,NA,1.5,2.3
Pennsylva)ni%a,Ot!her,2020,2.7,3.4,5.5,1.8
Penns&y+lvania,*O-th!er,2021,6.8,1.2,NA,NA
Pe.nns$ylv*ania,O+ther pe*sts/para!sites,2015,6.3,5.8,11.3,4.3
Penn)s+ylvania,Oth(er pests/para*sites,2016,4.3,3.9,7.7,2.6
P&en(nsylvania,!Othe$r& pe*st$s/parasites,2017,2.4,1,5.7,5.4
Pennsylvania,Oth+er pe&sts/p!ara(sites,2018,5.6,16.2,8.1,10.7
$Pennsylvania,Ot@her- pe&s^ts/parasites,2019,4.6,NA,8.8,4.6
Pe!nnsyl#vania,Other pest.s-/para&si-te!s,2020,3.9,2.7,12.3,3.9
.Pe%nnsylvania,&Ot+h%e+r@ pe^sts/pa@rasit$es,2021,11.6,5.1,NA,NA
Penn!sylvania,^Pesticides,2015,1.9,1.6,5.1,0.3
&Pennsy&lvania,Pestic+ides,2016,3.8,3.6,4.3,2.8
P.ennsylvania,Pe#sticid%es,2017,2.9,1.4,3.7,6.9
P.enn@sylva%nia,Pest@ici!d#es,2018,9.3,2.1,1.6,13
Pen.nsylv!ania,P-esticides,2019,4,NA,5,3.2
Pennsylva_nia,Pest#icid&e.s,2020,1.8,0.3,1.6,1.9
Pennsylvania,Pe*s@ticides,2021,NA,2.7,NA,NA
Pennsylvan*ia,U.nk!nown,2015,6.3,2.1,0.8,1
Penn(sylva!nia,U@nkno%wn,2016,4.6,0.9,1.2,3.1
Pennsylvania,Unknown,2017,7.3,1.6,0.9,2.3
Pennsyl*vania,Unknown,2018,9.9,1.9,2.6,5.4
Pennsylvania,Unk-n+own,2019,9.5,NA,5.6,2.9
!P_ennsyl(vania,Unkn&own,2020,3.2,1.3,2.3,2.6
Pen(ns#yl)vania,Unknown,2021,8.2,0.5,NA,NA
Pennsylvan+ia,V-arr&oa+ m^it!e*s,2015,28.1,11.4,45.1,32.2
Pennsylvania,Varro@a mite%s,2016,44.8,18.7,27.3,18.7
Pennsylvania,Var@roa# mi(te_s,2017,21,13.9,41.4,44.7
Pennsylvania,(Va%rroa* m-it%e.s,2018,34.4,31.3,23.5,26.9
Pennsy)l&vania,Varroa (m#it*es,2019,15.3,NA,23.4,33.2
Pennsylvania,Varroa mi^te-s,2020,15.5,27.3,32.2,28.1
Pennsyl^vania,Var&roa mi-tes,2021,18.1,21.8,NA,NA
South Carolina,*D*is$esases,2015,0.2,0.5,18.3,0.4
S*outh Carolina,D!isesas+e#s,2016,0.6,1,0.1,23.3
South Carolina,Dis(e-s%as!es,2017,0.4,14.7,0.2,14.6
South Caroli^n@a,$Di+sesas$e_s,2018,0.7,0.7,0.7,0.3
South) Ca$rolina,Disesases,2019,NA,NA,0.6,1.7
South Carolin#a,D%isesase^s,2020,9.6,0.5,NA,NA
South Carolina,Disesa#se)s,2021,NA,2.3,NA,NA
South Car!olina,&Ot&h_er,2015,3.6,3.7,3.9,5.8
South Carolina,Oth&e-r,2016,5.1,14.3,2.6,25.9
South Carolina,Ot+he.r,2017,2.7,4.1,5.2,1.9
South Ca)rolina,Ot^her,2018,13.5,9.8,7.6,1.3
South )Carolina,Othe.r,2019,12.4,NA,19.6,13.1
S$outh Carolina,_O!t+h@er,2020,6.4,5.3,1.5,2.7
South Ca&rolina,O)ther,2021,4.1,9.4,NA,NA
%S!outh Carolin-a,Oth.er *pe)sts/parasi_t^es,2015,2.3,5.4,31,2.9
S^ou@th #Carolina,Other (pests/parasites,2016,2.3,36.6,18.8,27.1
S*outh C)arolina,)Other. pests/@para#sites,2017,5.3,21.3,11.8,19.4
S-outh Carol@ina,O.ther pests)/p$a@rasi$t+es,2018,15.5,3.4,53.4,16.1
Sou!t%h+ Carol$ina,O#th&er- ^pes(t-s/par&asite.s,2019,14.5,NA,11.6,18.4
Sou$th Caro&lina,Oth$er pests!/p(a&rasi^tes,2020,11.5,5.8,28.9,4.2
So&uth Carolina,Oth*er &p$est+s$/!parasi)t@es,2021,10.1,43.8,NA,NA
South C.arolina,Pes$ticides,2015,0.3,1.4,14.7,1.7
So%uth Carol_ina,Pesti&ci#des,2016,2.1,35.8,2.6,24.6
South Carolin+a,Pest-icides,2017,1.1,17.9,3,0.2
Sout*h Car(olina,Pes!ticid!es,2018,2.6,1.6,32.4,1.4
South -C&aroli.na,Pes+ti*cides,2019,1.7,NA,16.2,3.5
South C#arolina,P*es$ticides,2020,0.3,NA,6.2,1.3
S!out%h Caro*l&ina,Pe-stici_des,2021,3.2,NA,NA,NA
South Carolina,Un&known,2015,2.9,0.7,3,NA
South Carolina,Unkno^wn,2016,4.9,1.3,1.9,1.9
South Caroli*na,(U#nk#nown,2017,1.8,0.3,0.8,1.9
Sout#h Carolina,Unknown,2018,3,2.9,0.9,5.5
So(uth %Carolina,U+nkno_wn,2019,1,NA,3.7,6.3
So!u*th Carolina,Unknown,2020,5.4,0.4,0.9,3.8
South Carolina,&Unknown,2021,0.9,5.1,NA,NA
South $Carolina,V!arr_oa _mit^es,2015,10.5,29.9,58.4,14.2
Sou+th (Caroli_na,Varro*a _m(ites,2016,11,51.3,20.4,29
Sou+th Carolina,Varr$oa mites,2017,12.6,23.9,26.4,31.6
_South Carolina,V^arro(a! m)ite@s,2018,29.3,14.3,76.8,32.2
@S$outh* Car(olina,V+ar@roa mites,2019,18.5,NA,44.9,56.7
South Caroli_na,Varroa- mites,2020,15.5,27.4,27.1,22.9
#South Ca.rolina,^Varro^a^ m%ites,2021,48.5,50.1,NA,NA
Sout-h Dakota,Di^s*esase.s,2015,0.3,1.8,2,1.9
Sou)th@ D+a#kota,D+is-es@ases,2016,NA,1.7,14.2,0.3
Sou)t^h Dako-ta,D+isesases,2017,NA,1.3,5,4.1
South (Dakota,Dis!esases,2018,NA,7.7,3.3,7
South) Da.kota,D$i%ses!ase.s,2019,NA,NA,0.3,3.2
South Dakot-a,Di_sesases,2020,NA,4.8,2.1,6.5
So-uth D!akota,Dises$ases,2021,NA,3.7,NA,NA
South Dak(o(ta,O$ther,2015,1.2,1.4,1.9,2.4
Sou$t&h Dakota,+Ot(her,2016,0.4,15.4,4.6,1
South D)akota,_Oth@er,2017,0.2,6.2,27,7.5
South Dakota,&Ot+h^er,2018,0.5,39.4,45,2.1
&Sout(h$ *Dakota,*Other,2019,0.8,NA,4,11.2
+So.uth Dako+ta,Othe@r,2020,0.3,37.5,61.4,NA
So$uth Dakota,Other,2021,NA,49.5,NA,NA
South Dakota,Other- pest!s/p_aras_i.tes,2015,0.9,11.1,7.3,3
South Dakot.a,O#ther pe)sts/pa*rasites,2016,NA,6.6,19.5,5.3
%South% Dakota,Ot@h*e^r .pests/pa%rasi$t-e.s,2017,NA,1.4,13.4,0.1
South Dakota,Other p@ests&/paras_ites,2018,0.1,42.2,32.9,1.3
South Dakota,Oth)er pe+sts/p&ar$asites,2019,NA,NA,3.5,6.1
South Dakota,@O^t)h^er pest_s/p.a@r$a$si%tes,2020,0.1,31.4,7,1.4
South Dakota,Oth$e$r_ pests/&p.ar_a!si-tes,2021,NA,12.6,NA,NA
Sout*h $Dakota,Pes-ticide*s,2015,0.5,2,7.1,7.1
Sou.th Dakota,Pes-ticides,2016,NA,5.1,22.7,6
South Dak+ota,Pestic*ide-s,2017,NA,9.7,10.1,4.4
South% Dako(t)a,@Pes@tic.ide+s,2018,NA,4,8.5,1.6
South Dakota,P_estic+i@d&e@s,2019,2.5,NA,14,5.6
South Dakota,^Pest*ic&ides,2020,2.1,0.4,64.9,4.5
South$ Dakota,Pesti@cid)es,2021,NA,4.2,NA,NA
S_outh Dakota,-U^n+know$n,2015,1.8,1.5,5.7,4.1
S!out)h Dakota,Unknown,2016,0.3,0.1,2.8,0.3
South Dakota,&U%nkno+w+n,2017,0.3,3.6,2.5,2.7
South Dakota,U$nknown,2018,0.1,NA,1.6,2.5
#South Dakota,Unknown,2019,2.2,NA,1.5,1.5
South Da$kota,Un)k&n#own,2020,0.3,5.3,2,1.8
South Dakota,U$nk^nown,2021,0.8,0.8,NA,NA
South Dako^t.a,(Varro-a mit$es,2015,1.2,9.8,22,16.8
-South Dakota,(Var@r+oa m@ites,2016,0.2,32.4,48.8,48.9
South Dak_ot#a,Varroa !m(ites,2017,2.9,20.9,47.4,17.3
@South) Dakota,Va#rro*a !mites,2018,4.4,53.3,54.7,12.8
South* Dakota,V-arroa m$it-es,2019,0.8,NA,10.4,12.2
South Dak^ota,Varr&o_a mites,2020,14.7,53.4,87,22.6
South Dakota,Varroa mite$s,2021,8.6,51.8,NA,NA
)Tennessee,Disesases,2015,NA,1.8,0.5,NA
Tennessee,Dises@as)es,2016,0.2,0.1,1.3,NA
Tenne$ssee,Dise@sas$es,2017,0.9,1,2.1,0.2
Tenne%ssee,.D)is_esases,2018,2.3,3,0.7,1.9
Tennessee,Di(sesa.s^e%s,2019,5.1,NA,0.2,NA
$Tennessee,Dise_sas$es,2020,1,0.2,2.3,NA
T(ennessee,D)i(se-sase.s,2021,1.4,NA,NA,NA
Tenn&ess*ee,Oth-er,2015,13,2.6,2.2,7.1
Tennessee,Ot(her,2016,10.1,9.1,6.2,2.2
Tennessee,Othe+r,2017,8.1,10.4,5.3,7.5
Tenn$essee,Ot$h#er,2018,13.2,6.2,5.6,9.1
Tennessee,Othe#r,2019,7.7,NA,11.5,7.6
Tenness+ee,Oth.er,2020,4.1,3.3,2.4,2.1
Tennessee,Othe)r,2021,2.6,3.1,NA,NA
Tenne_s!see,Ot+her pests/p(arasit+es,2015,17.1,26.3,38.4,28.3
T(ennessee,Other pe_st*s/&par^as^it-es,2016,7.1,22.7,23.1,21.6
Tenne*ssee,&Oth)e$r pes.ts/p)ar(as+ites,2017,12.6,24.9,22.1,18.9
Tennessee,Ot&her pe*sts/par+asites,2018,20.4,22.9,53.2,20.8
Tenne+sse!e,%Other pes(ts(/!par^asites,2019,23.6,NA,23.3,53.5
T.en^nessee,%Othe)r _pests/para&sit(e&s,2020,17.3,7.8,15.5,25.4
Tennesse)e,O(t+h(er pes*ts/.pa(ra$s@ites,2021,5.2,10.3,NA,NA
Tennes!see,.Pesticide^s,2015,NA,9.8,4.8,4.6
Tennessee,P$es@ti$cid+es,2016,3.7,0.4,2.4,1.1
Ten!nessee,%P)es)ticide!s,2017,2.4,3.1,6,2
+T_ennessee,Pesticides,2018,3,3.4,13.2,11.4
Tennesse!e,P)esticid^es,2019,0.9,NA,9.1,33.6
Ten)nessee,Pes%ticid.e^s,2020,NA,6.8,0.5,5.1
Tennessee,Pe&stic#i&de^s,2021,0.8,2.4,NA,NA
Tennessee,Unknown,2015,4.4,3,1,3.6
Tennesse+e,Un^known,2016,10.9,2.6,2,3.1
Tenn@essee,Unknown,2017,7,3.9,6.9,15.3
Tennessee,U!nknown,2018,19.7,2.5,2.1,5.1
Tennessee,Unk%nown,2019,7.1,NA,1.5,9.1
Ten%nesse-e,Unknown,2020,7.8,3,2.2,5.2
Ten+nessee,&Un-know.n,2021,8.9,NA,NA,NA
Tennessee,V-arr*o)a% mites,2015,22.2,47.8,50.8,43.6
Te&nn!e(ssee,V$ar$roa^ mi+tes,2016,19.7,40.9,22.5,19.9
Tennessee,Va*rroa@ m%ites,2017,28.6,47.4,42.8,22.8
Tennessee,&Var(ro&a. .mites,2018,29.2,30,70.6,49.8
Tenn@essee,Va^rr_oa% +mit)e^s,2019,62.8,NA,51.4,66.6
Tennessee,Varr)o%a m$i^tes,2020,18.9,31.2,37.7,33.8
